ticker,cluster_date,n_insiders,has_ceo,has_cfo,dd_52w,abnormal_5d
PTON,2021-11-18,19,False,False,-71.09066894324181,0.5670485918137833
TLIS,2021-11-19,6,False,False,,-2.172562717060468
TALO,2021-11-22,4,False,False,-45.04021335305658,-3.422901234796817
ORGO,2021-11-22,12,False,False,-56.22040345802396,-0.6645237836050026
BRZE,2021-11-23,33,False,False,,-5.215923513787416
SG,2021-11-23,3,False,False,,-16.326293938990858
GOCO,2021-11-23,3,True,False,-78.4375,-4.144824956550487
PFSI,2021-11-23,6,False,False,-6.087784773503091,2.833237262627935
FINW,2021-11-23,9,True,True,,2.1477983091586723
CLOV,2021-11-24,3,False,False,-75.8013533822803,-16.478595136239583
BH,2021-11-24,4,False,False,-21.284171554883635,-1.065393019861702
QRHC,2021-11-24,8,False,False,-26.71957666951823,-9.490914487493916
TALK,2021-11-24,3,False,False,-81.81818199730921,-7.587413505311659
PTPI,2021-11-30,5,False,False,-38.888888888888886,-3.9467202388089992
NUVB,2021-11-30,6,False,False,-38.43513757783214,5.071543930276147
KD,2021-11-30,3,True,True,,17.513591893042438
IONM,2021-12-01,3,True,True,-43.78854170183234,-14.18824042900636
FXLV,2021-12-01,9,True,False,-45.65972239468936,16.509557628042224
CPNG,2021-12-02,3,False,False,-48.166503026616304,0.8018351786433775
OLMA,2021-12-02,10,False,False,-82.47576486672313,4.407174141741313
CHGG,2021-12-03,3,True,True,-74.83922215800354,-8.924755165386127
MGPI,2021-12-03,3,False,False,-2.512243686676241,-4.330640946676661
LOCL,2021-12-06,3,True,True,-34.65159871351363,-11.980518838751763
LMB,2021-12-09,4,True,False,-51.625236739474346,-5.511845090736962
RWAY,2021-12-10,10,True,True,-3.5919424171158787,-1.232381147073583
KMI,2021-12-10,3,False,False,-12.92131340466305,-0.981850847930916
XLO,2021-12-10,6,False,False,-59.17961070946986,2.719632376891245
REFI,2021-12-10,8,True,True,,0.2302857638640709
ET,2021-12-13,4,True,True,-25.088096177127326,1.4635681903880853
KPLT,2021-12-13,5,False,False,-79.98952331063384,-19.53643180961192
GTLB,2021-12-13,7,False,False,-44.41473312509502,21.81089349248876
ALTG,2021-12-15,3,False,False,-19.482050822793784,5.356281761101775
ARHS,2021-12-15,3,True,True,,-6.416483376233661
MTDR,2021-12-16,3,False,False,-20.020820943413163,0.5689111017296895
GIC,2021-12-16,3,True,False,-9.890340888488646,-0.5788841212824809
VERO,2021-12-17,9,True,False,,9.30597196351297
INCY,2021-12-17,6,False,False,-27.47263742323539,-4.175334237524853
LTH,2021-12-17,10,False,False,-24.97741161583964,2.6770464325938903
SNSE,2021-12-20,3,False,False,-74.81318714854481,-9.35401088061014
KBNT,2021-12-20,3,False,False,-74.64074370796638,-7.80547885372889
PRPL,2021-12-20,7,False,False,-69.41323538225342,3.684328948874799
CWH,2021-12-20,4,False,False,-20.0474114446895,4.268576055103892
GPOR,2021-12-20,3,False,False,-22.05781597858837,2.4551540217694967
AKA,2021-12-20,5,False,False,-42.462147270252174,-0.9062114293775272
IOT,2021-12-21,33,False,False,,-2.2414235520186057
TYRA,2021-12-21,3,False,False,-60.35087670198922,-5.255603873472175
SFIX,2021-12-22,3,False,False,-82.83056119819562,-0.4722553114157828
CRC,2021-12-22,3,False,False,-9.89282497515781,0.6912942020942396
GFF,2021-12-23,5,False,False,0.0,-1.4126689032590172
BRN,2021-12-23,3,True,False,-48.0902781471834,-1.2072588731642198
TMC,2021-12-28,3,True,False,-86.18473851437149,18.008597326634064
CTLP,2021-12-29,3,True,False,-36.54147240900003,-2.4123401078989177
BBIO,2022-01-03,5,False,False,-76.2819623920931,-10.247359239509567
PTPI,2022-01-03,5,False,False,-26.956521739130434,-0.5296323541005843
BDSX,2022-01-04,3,False,False,-83.01826370922234,2.500803449559614
CODI,2022-01-05,6,False,False,-12.397200894126858,-3.0044210689588047
BATRA,2022-01-05,4,False,False,-13.60397035860873,-3.937483241197172
RAIN,2022-01-10,10,False,False,,-36.44602174732455
AMLX,2022-01-10,4,False,False,,-0.8126715699021418
AVTX,2022-01-11,3,False,True,-77.9723503402288,-14.355459199674485
BBBY,2022-01-11,4,False,True,-48.8735019652559,-9.506324418011928
NSTS,2022-01-19,8,True,True,,1.235510865940337
DAWN,2022-01-20,4,False,False,-47.06303835034566,-7.893770401627867
RPTX,2022-01-21,10,False,False,,2.0789434396770887
KOD,2022-01-25,6,False,False,-62.658033038883154,8.37412013687505
APPN,2022-01-26,5,False,False,-79.11069620720765,1.1505964761014518
KYMR,2022-01-26,10,False,False,-50.753767658641955,8.654421863569185
SKYH,2022-01-27,4,False,False,-27.619048527308877,-13.768932168434294
TACT,2022-01-31,4,False,False,-46.67853235071321,6.235469907591341
VCNX,2022-01-31,4,True,False,-70.45009660629508,0.6192772186671487
NEE,2022-01-31,4,True,True,-16.32388798441443,-0.7507686763697132
PAXS,2022-02-01,8,False,False,,1.3016361093181823
