B_1d,B_3d,B_5d,B_10d,B_20d,A_1d,A_3d,A_5d,A_10d,A_20d,symbol,date
-1.9402557401695275,-1.8883323311282174,1.7439292663288475,-0.5799689079824422,-6.841401241933975,-1.282691464592678,0.3667966594074423,4.231108955678331,2.319101083024677,-4.221433196793289,CLX,2021-09-22
-1.9561654952072294,-2.2472984481315295,-4.1781384850897,-5.50329782612885,-7.925444990675845,-1.2997846822761505,-1.850948860528523,-2.6762784547155416,-3.359797718229207,-5.902827687071932,MKC,2021-09-30
-1.3030206528800714,-2.472601960122678,-4.825990737756259,-6.4477069582283715,-5.516940342591559,-0.581593321400109,-0.8292756569857729,-2.4237416915693144,-3.4842901161447726,-2.2530699995077175,AMGN,2021-10-06
-4.251245863975184,-3.710681950352246,-1.0827589345334454,-4.357229035120991,-21.208692575040587,-0.1036189902512974,0.48028312160617315,2.2986567910520783,-0.667306870954909,-19.050285579517745,GPN,2021-10-11
-1.267040873374059,-2.9379214900687067,-3.651304160989177,-4.067402968295497,-8.882812396478846,-1.382804684601735,-2.294933060920168,-3.3930451771709946,-4.03220400022235,-7.58939039898705,VZ,2021-10-11
-1.6663605262918102,-2.732820688822646,-2.259309697767631,-1.2536618115999376,-0.8671687490177105,-0.1622952071353101,0.010614078835735619,1.8890811902730231,1.730070717217158,0.2974861589019051,CPB,2021-10-27
-2.965486237317261,-4.4511009196772084,-6.281952936728862,-9.147845057299165,-9.335791426355666,-1.5675605205623944,-2.0314639592048156,-3.950829276128931,-4.64501794024551,-6.103155603039645,ZBH,2021-11-08
-0.35275092883231274,1.2611364331492125,-0.001707670962303176,-0.4334672668552586,-7.096131063722977,1.8575500546046064,1.0360961026255389,-0.5280361893912788,0.11023097190143716,-6.614204646433586,T,2021-11-09
-0.9330380110643355,-5.0087571321321915,-8.788958043043472,-14.643846321022592,-24.03091163676141,-1.6015605760127172,-5.04554873909453,-11.653238073382932,-10.752739723216731,-27.07074709220604,DKNG,2021-11-11
-1.634467452215671,-2.196263763381856,-0.802881512903586,-1.9705966279895621,-1.0565874596660252,0.6907988966346257,-0.33039974963393615,1.0381597011271615,-2.086398944869405,0.8432700079000766,FIS,2021-11-18
-2.508753359617988,-1.2614536653818953,-0.937859057860535,-0.3150757406639171,8.503116237801844,-1.1065343669125927,1.6453297864077565,3.833092401787197,4.275545436387063,12.873370239917792,CAG,2021-11-18
