sym,announce_day,year,abn_window,abn_day
CVX,2022-10-28,2022,0.0004674120665124626,-0.012098860159896585
CVX,2022-07-29,2022,0.05571713855968352,0.07445611828523035
CVX,2022-04-29,2022,0.01855011150946051,0.0053099006162701246
CVX,2022-01-28,2022,-0.07313785083955937,-0.05999818681429636
CVX,2021-10-29,2021,0.008711685012845916,0.010081501966736628
CVX,2021-07-30,2021,-0.002220169043547049,-0.0025532357913026216
CVX,2021-04-30,2021,-0.008387728904049374,-0.029257135950760516
CVX,2021-01-29,2021,-0.02561148780986333,-0.022892034370313508
CVX,2020-10-30,2020,0.048025441790839896,0.02059961963224055
CVX,2020-07-31,2020,-0.03183328947743447,-0.03491063106757519
CVX,2020-05-01,2020,0.017701263885286367,-0.0013527266595931842
CVX,2020-01-31,2020,-0.03509629327389219,-0.02008255035451134
JNJ,2026-04-14,2026,-0.01718836333497875,-0.0031917780548713637
JNJ,2026-01-21,2026,-0.015541470855742201,-0.012457674346671332
JNJ,2025-10-14,2025,-0.001798191674187155,0.0009597690536363723
JNJ,2025-07-16,2025,0.04084854065168786,0.058588752252764165
JNJ,2025-04-15,2025,0.022051409664423427,-0.0019931513156794534
JNJ,2025-01-22,2025,-0.021302416146634973,-0.025061055070168092
JNJ,2024-10-15,2024,0.02004100182493085,0.023239896124437998
JNJ,2024-07-17,2024,0.050801573499181796,0.050906308838462366
JNJ,2024-04-16,2024,-0.011375639714135688,-0.019451324244416313
JNJ,2024-01-23,2024,-0.025616621868730483,-0.01928882713545277
JNJ,2023-10-17,2023,-0.01709995216314042,-0.009095242309739904
JNJ,2023-07-20,2023,0.07876475906226321,0.06736254864461266
JNJ,2023-04-18,2023,-0.019436317852641993,-0.028780231085516972
JNJ,2023-01-24,2023,0.007828514314702884,0.001073264207500868
JNJ,2022-10-18,2022,-0.01598494135351214,-0.01523111991739512
JNJ,2022-07-19,2022,-0.05376775183179361,-0.04159717735356405
JNJ,2022-04-19,2022,0.019677576212576486,0.014365195794338703
JNJ,2022-01-25,2022,0.047883528866748404,0.040803492817599096
JNJ,2021-10-19,2021,0.01118498724936523,0.015705183949716872
JNJ,2021-07-21,2021,-0.0011245964183694834,-0.0019224730769895615
JNJ,2021-04-20,2021,0.021900590399557718,0.03061780181430296
JNJ,2021-01-26,2021,0.03741034508868191,0.028672232958229182
JNJ,2020-10-13,2020,-0.011862814293127855,-0.016392914454807728
JNJ,2020-07-16,2020,0.0077559589907861826,0.009971007959537648
JNJ,2020-04-14,2020,0.04883151652098072,0.015295003428306808
JNJ,2020-01-22,2020,-0.006225360278423686,-0.00695398722645002
PFE,2026-05-05,2026,-0.013287813562415263,-0.0023186999225106586
PFE,2026-02-03,2026,0.017759565547759704,-0.024927871907614252
PFE,2025-11-04,2025,0.006401648730999243,-0.002745029892299633
PFE,2025-08-05,2025,0.01444871817550264,0.0569185084125432
PFE,2025-04-29,2025,0.05230346407744357,0.02580491977318089
PFE,2025-02-04,2025,-0.0016297753086134126,-0.019303567794458742
PFE,2024-10-29,2024,-0.010369480697123956,-0.015478408872776739
PFE,2024-07-30,2024,-0.016965110279560935,0.026876458054145735
PFE,2024-05-01,2024,0.07511067814577954,0.06413689585638704
PFE,2024-01-30,2024,0.0025220447575032834,-0.015965942401214628
PFE,2023-10-31,2023,-0.018321112255139438,-0.0059529603365611194
PFE,2023-08-01,2023,-0.0029569969152791753,-0.009617618573351305
PFE,2023-05-02,2023,-0.0013567678150585571,0.007413970421419336
PFE,2023-01-31,2023,-0.015842953111402602,-0.0006962535719465812
PFE,2022-11-01,2022,0.04053272829618326,0.035740042879875866
PFE,2022-07-28,2022,-0.04747859419822542,-0.028643271751507493
PFE,2022-05-03,2022,-0.007870099508171968,0.01506832907511102
PFE,2022-02-08,2022,-0.05568498145185641,-0.036605965550145614
PFE,2021-11-02,2021,0.016866561058943574,0.037432807088696896
PFE,2021-07-28,2021,0.021859617511951646,0.0324769414099495
PFE,2021-05-04,2021,0.009373420819564826,0.009181963092499745
PFE,2021-02-02,2021,-0.041753713568003836,-0.03676601292283732
PFE,2020-10-27,2020,-0.027628039527764714,-0.009473819757171986
PFE,2020-07-28,2020,0.03993966632619883,0.045767104731743724
PFE,2020-04-28,2020,-0.026938443533377376,-0.006358953967657066
PFE,2020-01-28,2020,-0.07388741581104163,-0.06077772399839054
UNH,2026-04-21,2026,0.0893515723295073,0.07619576210817025
UNH,2026-01-27,2026,-0.1677439762574343,-0.20003703912344561
UNH,2025-10-28,2025,-0.03242877323140425,0.00242629744445777
UNH,2025-07-29,2025,-0.05310338550710503,-0.07197595701694692
UNH,2025-04-17,2025,-0.2505800571614153,-0.22522358566127232
UNH,2025-01-16,2025,-0.07003850969930392,-0.058490338779469186
UNH,2024-10-15,2024,-0.052803276254281606,-0.07335037360271446
UNH,2024-07-16,2024,0.120540069775677,0.05907158493573306
UNH,2024-04-16,2024,0.08259153430422683,0.054019519310458564
UNH,2024-01-12,2024,-0.03506006017902785,-0.034360980290319976
UNH,2023-10-13,2023,0.01827795535657506,0.031353868083679015
UNH,2023-07-14,2023,0.07829195776054232,0.07302929856991058
UNH,2023-04-14,2023,-0.04081535580347262,-0.024997601146461212
UNH,2023-01-13,2023,-0.023405714024494095,-0.016186382023549162
UNH,2022-10-14,2022,0.021152069971084986,0.029103791706692084
UNH,2022-07-15,2022,0.023025607333859943,0.03527073305290851
UNH,2022-04-14,2022,0.006608052245077212,0.008392250366859866
UNH,2022-01-19,2022,0.025696871863474913,0.0137025960682442
UNH,2021-10-14,2021,0.036196058236420914,0.0248344480388627
UNH,2021-07-15,2021,0.023191720495614132,0.016218758184747828
UNH,2021-04-15,2021,0.02682373909581126,0.027539622502745997
UNH,2021-01-20,2021,-0.006784242388815587,-0.01767175432661061
UNH,2020-10-14,2020,-0.013157372592573213,-0.022592504001304747
